Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-24,0.0,159.0,0.0
2021-02-25,27.0,1338.0,0.0
2021-02-26,33.0,3051.0,0.0
2021-02-27,23.0,3141.0,0.0
2021-02-28,22.0,0.0,0.0
2021-03-01,22.0,4905.0,0.0
2021-03-02,26.0,6888.0,0.0
2021-03-03,31.0,9568.0,0.0
2021-03-04,36.0,12481.0,0.0
2021-03-05,42.0,15758.0,0.0
2021-03-06,45.0,17037.0,0.0
2021-03-07,45.0,17947.0,0.0
2021-03-08,46.0,19118.0,0.0
2021-03-09,54.0,23480.0,0.0
2021-03-10,65.0,29378.0,0.0
2021-03-11,84.0,38237.0,0.0
2021-03-12,104.0,47541.0,0.0
2021-03-13,111.0,51137.0,0.0
2021-03-14,115.0,53155.0,0.0
2021-03-15,140.0,62083.0,0.0
2021-03-16,176.0,0.0,0.0
2021-03-17,207.0,92713.0,1.0
2021-03-18,197.0,0.0,0.0
2021-03-19,186.0,104341.0,1.0
2021-03-20,187.0,108309.0,1.0
2021-03-21,189.0,111024.0,1.0
2021-03-22,195.0,121928.0,1.0
2021-03-23,255.0,155586.0,1.0
2021-03-24,265.0,0.0,0.0
2021-03-25,306.0,192263.0,1.0
2021-03-26,294.0,0.0,0.0
2021-03-27,288.0,0.0,0.0
2021-03-28,286.0,198464.0,1.0
2021-03-29,297.0,212896.0,2.0
2021-03-30,248.0,231564.0,2.0
2021-03-31,244.0,248734.0,2.0
2021-04-01,247.0,267833.0,2.0
2021-04-02,302.0,286645.0,2.0
2021-04-03,303.0,0.0,0.0
2021-04-04,305.0,291824.0,2.0
2021-04-05,300.0,304680.0,2.0
2021-04-06,290.0,320263.0,2.0
2021-04-07,280.0,334576.0,2.0
2021-04-08,279.0,353142.0,5.0
2021-04-09,282.0,373000.0,5.0
2021-04-10,287.0,377048.0,5.0
2021-04-11,282.0,378264.0,5.0
2021-04-12,273.0,388399.0,5.0
2021-04-13,272.0,403551.0,5.0
2021-04-14,277.0,419295.0,5.0
2021-04-15,260.0,432815.0,5.0
2021-04-16,238.0,445859.0,5.0
2021-04-17,236.0,449192.0,5.0
2021-04-18,236.0,450645.0,5.0
2021-04-19,243.0,462789.0,5.0
2021-04-20,243.0,477831.0,5.0
2021-04-21,237.0,491875.0,5.0
2021-04-22,246.0,508044.0,5.0
2021-04-23,250.0,522383.0,5.0
2021-04-24,248.0,0.0,0.0
2021-04-25,253.0,528028.0,5.0
2021-04-26,249.0,539124.0,9.0
2021-04-27,264.0,558714.0,9.0
2021-04-28,449.0,629182.0,10.0
2021-04-29,635.0,702438.0,130.0
2021-04-30,752.0,752293.0,260.0
2021-05-01,751.0,754924.0,290.0
2021-05-02,743.0,755101.0,290.0
2021-05-03,709.0,756020.0,290.0
2021-05-04,657.0,759432.0,303.0
2021-05-05,506.0,783810.0,419.0
2021-05-06,391.0,821768.0,428.0
2021-05-07,345.0,857796.0,446.0
2021-05-08,352.0,862639.0,446.0
2021-05-09,357.0,0.0,0.0
2021-05-10,359.0,865588.0,695.0
2021-05-11,408.0,882619.0,1928.0
2021-05-12,394.0,901105.0,3828.0
2021-05-13,341.0,918162.0,8358.0
2021-05-14,300.0,936497.0,13661.0
2021-05-15,305.0,939236.0,17086.0
2021-05-16,307.0,940158.0,18394.0
2021-05-17,358.0,948330.0,27454.0
2021-05-18,360.0,957346.0,37526.0
2021-05-19,352.0,964745.0,48070.0
2021-05-20,344.0,971032.0,60696.0
2021-05-21,324.0,977009.0,72302.0
2021-05-22,315.0,978031.0,74783.0
2021-05-23,312.0,978352.0,75787.0
2021-05-24,302.0,981970.0,86225.0
2021-05-25,293.0,987191.0,97391.0
2021-05-26,284.0,992189.0,107524.0
2021-05-27,275.0,999072.0,116934.0
2021-05-28,273.0,1008857.0,123964.0
2021-05-29,289.0,1015976.0,125437.0
2021-05-30,305.0,1021804.0,125777.0
2021-05-31,305.0,1032036.0,129482.0
