Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-20,0.0,556208.0,0.0
2020-12-21,173.0,614117.0,0.0
2020-12-22,381.0,0.0,0.0
2020-12-23,450.0,1008025.0,0.0
2020-12-24,571.0,0.0,0.0
2020-12-25,644.0,0.0,0.0
2020-12-26,692.0,1944585.0,0.0
2020-12-27,632.0,0.0,0.0
2020-12-28,646.0,2127143.0,0.0
2020-12-29,705.0,0.0,0.0
2020-12-30,763.0,2794588.0,0.0
2020-12-31,834.0,0.0,0.0
2021-01-01,904.0,0.0,0.0
2021-01-02,974.0,4225756.0,0.0
2021-01-03,1007.0,0.0,0.0
2021-01-04,1041.0,4563260.0,0.0
2021-01-05,1015.0,4836469.0,0.0
2021-01-06,1073.0,5306797.0,0.0
2021-01-07,1131.0,5919418.0,0.0
2021-01-08,1256.0,6688231.0,0.0
2021-01-09,1379.0,0.0,0.0
2021-01-10,1634.0,0.0,0.0
2021-01-11,1890.0,8987322.0,0.0
2021-01-12,1918.0,9327138.0,0.0
2021-01-13,2124.0,0.0,0.0
2021-01-14,2234.0,9690757.0,1342086.0
2021-01-15,2388.0,10595866.0,1610524.0
2021-01-16,2427.0,0.0,0.0
2021-01-17,2466.0,0.0,0.0
2021-01-18,2504.0,0.0,0.0
2021-01-19,2725.0,13595803.0,2023124.0
2021-01-20,2668.0,14270441.0,2161419.0
2021-01-21,2733.0,15053257.0,2394961.0
2021-01-22,2917.0,16243093.0,2756953.0
2021-01-23,3162.0,17390345.0,3027865.0
2021-01-24,3355.0,18502131.0,3216836.0
2021-01-25,3368.0,19252279.0,3346390.0
2021-01-26,3346.0,19902237.0,3481921.0
2021-01-27,3472.0,20687970.0,3801053.0
2021-01-28,3694.0,21698606.0,4263056.0
2021-01-29,3749.0,22858318.0,4780888.0
2021-01-30,3861.0,24064165.0,5259693.0
2021-01-31,3962.0,25201143.0,5657142.0
2021-02-01,4053.0,26023153.0,5927847.0
2021-02-02,3947.0,26440836.0,6064792.0
2021-02-03,3941.0,27154956.0,6436931.0
2021-02-04,3849.0,27905197.0,6926050.0
2021-02-05,3816.0,28909497.0,7503864.0
2021-02-06,4041.0,30250964.0,8317180.0
2021-02-07,4309.0,31579100.0,9147185.0
2021-02-08,4355.0,32340146.0,9518015.0
2021-02-09,4453.0,32867213.0,9840429.0
2021-02-10,4652.0,33783384.0,10469514.0
2021-02-11,4778.0,34723964.0,11188782.0
2021-02-12,4951.0,35834855.0,12085830.0
2021-02-13,4957.0,37056122.0,13082172.0
2021-02-14,4986.0,38292270.0,14077440.0
2021-02-15,4970.0,0.0,0.0
2021-02-16,5132.0,39670551.0,15015434.0
2021-02-17,4917.0,40268009.0,15471536.0
2021-02-18,4847.0,41021049.0,16162358.0
2021-02-19,4773.0,41977401.0,17039118.0
2021-02-20,4548.0,42809595.0,17895667.0
2021-02-21,4360.0,43628092.0,18865319.0
2021-02-22,4325.0,44138118.0,19438495.0
2021-02-23,4191.0,44544969.0,19882544.0
2021-02-24,4350.0,45237143.0,20607261.0
2021-02-25,4501.0,46074392.0,21555117.0
2021-02-26,4643.0,47184199.0,22613359.0
2021-02-27,4919.0,48435536.0,23698627.0
2021-02-28,5188.0,49772180.0,24779920.0
2021-03-01,5434.0,50732997.0,25466405.0
2021-03-02,5809.0,51755447.0,26162122.0
2021-03-03,6012.0,52855579.0,26957804.0
2021-03-04,6108.0,54035670.0,27795980.0
2021-03-05,6217.0,55547697.0,28701201.0
2021-03-06,6453.0,57358849.0,29776160.0
2021-03-07,6457.0,58873710.0,30686881.0
2021-03-08,6488.0,60005231.0,31493040.0
2021-03-09,6433.0,61088527.0,32102061.0
2021-03-10,6485.0,62451150.0,32904161.0
2021-03-11,6677.0,64071674.0,33863127.0
2021-03-12,6886.0,65965305.0,35000159.0
2021-03-13,7600.0,68884011.0,36929777.0
2021-03-14,7137.0,69784210.0,37459269.0
2021-03-15,7258.0,71054445.0,38335432.0
2021-03-16,7281.0,72135616.0,39042345.0
2021-03-17,7397.0,73669956.0,39989196.0
2021-03-18,7486.0,75495716.0,40981464.0
2021-03-19,7341.0,77230061.0,41934629.0
2021-03-20,6723.0,79367225.0,43036818.0
2021-03-21,7441.0,81415769.0,44141228.0
2021-03-22,7444.0,82772416.0,44910946.0
2021-03-23,7466.0,83930495.0,45533962.0
2021-03-24,7448.0,85472166.0,46365515.0
2021-03-25,7507.0,87343622.0,47419832.0
2021-03-26,7847.0,89559225.0,48695172.0
2021-03-27,8004.0,91707729.0,50141769.0
2021-03-28,8108.0,93631163.0,51593564.0
2021-03-29,8245.0,95015762.0,52614231.0
2021-03-30,8280.0,96044046.0,53423486.0
2021-03-31,8457.0,97593290.0,54607041.0
2021-04-01,8682.0,99565311.0,56089614.0
2021-04-02,8937.0,101804762.0,57984785.0
2021-04-03,9187.0,104213478.0,59858146.0
2021-04-04,9223.0,106214924.0,61416536.0
2021-04-05,9130.0,107515428.0,62392065.0
2021-04-06,8966.0,108301234.0,63016976.0
2021-04-07,9057.0,109995734.0,64422618.0
2021-04-08,9076.0,112046611.0,66203123.0
2021-04-09,9069.0,114436039.0,68202458.0
2021-04-10,9303.0,117142879.0,70692645.0
2021-04-11,9394.0,119242902.0,72630892.0
2021-04-12,9613.0,120848490.0,74066085.0
2021-04-13,10120.0,122295530.0,75322283.0
2021-04-14,9959.0,123917385.0,76681252.0
2021-04-15,10011.0,125822868.0,78498290.0
2021-04-16,10015.0,127743096.0,80609818.0
2021-04-17,9570.0,129494179.0,82471151.0
2021-04-18,9551.0,131247546.0,84263408.0
2021-04-19,9350.0,132321628.0,85365180.0
2021-04-20,9015.0,133266995.0,86223506.0
2021-04-21,9039.0,134445595.0,87592646.0
2021-04-22,8812.0,135791031.0,89245776.0
2021-04-23,8560.0,137234889.0,91175995.0
2021-04-24,8444.0,138644724.0,93078040.0
2021-04-25,8225.0,139978480.0,94772329.0
2021-04-26,8196.0,140969663.0,95888088.0
2021-04-27,8124.0,141751857.0,96747454.0
2021-04-28,7982.0,142692987.0,98044421.0
2021-04-29,7865.0,143793565.0,99668945.0
2021-04-30,7619.0,144894586.0,101407318.0
2021-05-01,7613.0,146239208.0,103422555.0
2021-05-02,7232.0,147047012.0,104774652.0
2021-05-03,6839.0,147517734.0,105523520.0
2021-05-04,6562.0,147894671.0,106168588.0
2021-05-05,6376.0,148562891.0,107346533.0
2021-05-06,6242.0,149462265.0,108926627.0
2021-05-07,6245.0,150416559.0,110874920.0
2021-05-08,5930.0,151315505.0,112626771.0
2021-05-09,6034.0,152116936.0,114258244.0
2021-05-10,6330.0,152819904.0,115530780.0
2021-05-11,6563.0,153448316.0,116576359.0
2021-05-12,6456.0,153986312.0,117647439.0
2021-05-13,6246.0,154624231.0,118987308.0
2021-05-14,5835.0,155251852.0,120258637.0
2021-05-15,5760.0,156217367.0,121768268.0
2021-05-16,5642.0,157132234.0,122999721.0
2021-05-17,5473.0,157827208.0,123828224.0
2021-05-18,5298.0,158365411.0,124455693.0
2021-05-19,5386.0,159174963.0,125453423.0
2021-05-20,5468.0,160177820.0,126605166.0
2021-05-21,5620.0,161278336.0,127778250.0
2021-05-22,5599.0,162470794.0,129006463.0
2021-05-23,5465.0,163309414.0,130014175.0
2021-05-24,5330.0,163907827.0,130615797.0
2021-05-25,5234.0,164378258.0,131078608.0
2021-05-26,5093.0,165074907.0,131850089.0
2021-05-27,4838.0,165718717.0,132769894.0
2021-05-28,4487.0,166388129.0,133532544.0
2021-05-29,4171.0,167157043.0,134418748.0
2021-05-30,3933.0,167733972.0,135087319.0
