Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-27,0.0,374.0,0.0
2021-02-28,0.0,375.0,0.0
2021-03-01,2594.0,18395.0,0.0
2021-03-02,3142.0,33123.0,0.0
2021-03-03,3889.0,54419.0,0.0
2021-03-04,3628.0,63392.0,0.0
2021-03-05,3465.0,72585.0,0.0
2021-03-06,2970.0,72586.0,0.0
2021-03-07,2970.0,72586.0,0.0
2021-03-08,3386.0,100723.0,0.0
2021-03-09,3678.0,122550.0,0.0
2021-03-10,3837.0,147712.0,0.0
2021-03-11,4389.0,170122.0,0.0
2021-03-12,4946.0,192855.0,0.0
2021-03-13,5375.0,203274.0,0.0
2021-03-14,5375.0,203275.0,0.0
2021-03-15,4680.0,214532.0,0.0
2021-03-16,4056.0,221190.0,0.0
2021-03-17,3346.0,229079.0,0.0
2021-03-18,3926.0,265594.0,0.0
2021-03-19,4484.0,301882.0,0.0
2021-03-20,4569.0,314362.0,0.0
2021-03-21,4569.0,314381.0,0.0
2021-03-22,5703.0,353196.0,0.0
2021-03-23,6929.0,389686.0,0.0
2021-03-24,8061.0,425096.0,0.0
2021-03-25,8346.0,468545.0,0.0
2021-03-26,8545.0,509664.0,0.0
2021-03-27,8573.0,522457.0,374.0
2021-03-28,8573.0,522466.0,374.0
2021-03-29,9212.0,559004.0,18185.0
2021-03-30,9855.0,596816.0,32502.0
2021-03-31,10194.0,622671.0,50300.0
2021-04-01,10453.0,663677.0,59043.0
2021-04-02,10794.0,704237.0,67883.0
2021-04-03,10774.0,716835.0,67969.0
2021-04-04,10788.0,717186.0,67972.0
2021-04-05,10129.0,727680.0,95797.0
2021-04-06,9769.0,749796.0,117070.0
2021-04-07,9845.0,770887.0,141484.0
2021-04-08,9792.0,798083.0,162749.0
2021-04-09,9294.0,808486.0,189626.0
2021-04-10,9859.0,825641.0,198892.0
2021-04-11,9849.0,825762.0,198895.0
2021-04-12,10493.0,872473.0,206147.0
2021-04-13,10945.0,918928.0,214074.0
2021-04-14,11345.0,966016.0,222222.0
2021-04-15,11883.0,996581.0,253203.0
2021-04-16,12851.0,1025979.0,284612.0
2021-04-17,13180.0,1050626.0,294378.0
2021-04-18,13696.0,1063228.0,294461.0
2021-04-19,13053.0,1071821.0,324188.0
2021-04-20,12466.0,1081873.0,354262.0
2021-04-21,11936.0,1091348.0,387130.0
2021-04-22,11484.0,1100940.0,428084.0
2021-04-23,11078.0,1113337.0,466636.0
2021-04-24,10552.0,1122340.0,479253.0
2021-04-25,10063.0,1123099.0,479286.0
2021-04-26,10399.0,1132434.0,516429.0
2021-04-27,10660.0,1141157.0,554194.0
2021-04-28,10771.0,1149611.0,590779.0
2021-04-29,10597.0,1157323.0,629374.0
2021-04-30,10452.0,1165669.0,668468.0
2021-05-01,9566.0,1165706.0,668493.0
2021-05-02,9542.0,1165904.0,668505.0
2021-05-03,9020.0,1179637.0,688564.0
2021-05-04,8561.0,1191957.0,711576.0
2021-05-05,8071.0,1203170.0,733467.0
2021-05-06,7713.0,1213970.0,760274.0
2021-05-07,6735.0,1224381.0,773514.0
2021-05-08,6933.0,1226553.0,776239.0
2021-05-09,7034.0,1228151.0,777291.0
2021-05-10,7545.0,1236574.0,815094.0
2021-05-11,7885.0,1243351.0,851917.0
2021-05-12,7853.0,1247977.0,879604.0
2021-05-13,9333.0,1287006.0,914172.0
2021-05-14,10245.0,1318558.0,928458.0
2021-05-15,11450.0,1345370.0,935847.0
2021-05-16,11955.0,1353613.0,942542.0
2021-05-17,12207.0,1401145.0,947356.0
2021-05-18,12504.0,1444789.0,954515.0
2021-05-19,13050.0,1482956.0,961943.0
2021-05-20,11988.0,1523893.0,968779.0
2021-05-21,11755.0,1559115.0,973737.0
2021-05-22,10940.0,1571246.0,975981.0
2021-05-23,10391.0,1572409.0,976426.0
2021-05-24,9937.0,1608652.0,981470.0
2021-05-25,8295.0,1618128.0,982891.0
2021-05-26,9161.0,1677887.0,989764.0
2021-05-27,8816.0,1713098.0,993934.0
2021-05-28,8691.0,1744957.0,999230.0
2021-05-29,9172.0,1757719.0,1012527.0
2021-05-30,9177.0,1759260.0,1012711.0
2021-05-31,9386.0,1795034.0,1023333.0
