Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-07,0.0,0.0,0.0
2021-03-08,4.0,377.0,0.0
2021-03-09,3.0,522.0,0.0
2021-03-10,3.0,955.0,0.0
2021-03-11,4.0,1585.0,0.0
2021-03-12,11.0,5248.0,0.0
2021-03-13,17.0,10041.0,0.0
2021-03-14,17.0,11605.0,0.0
2021-03-15,23.0,15865.0,0.0
2021-03-16,30.0,20695.0,0.0
2021-03-17,34.0,24054.0,0.0
2021-03-18,38.0,27546.0,0.0
2021-03-19,38.0,30971.0,0.0
2021-03-20,33.0,32361.0,0.0
2021-03-21,33.0,33891.0,0.0
2021-03-22,30.0,36082.0,0.0
2021-03-23,25.0,37911.0,0.0
2021-03-24,23.0,39817.0,0.0
2021-03-25,22.0,42225.0,0.0
2021-03-26,19.0,44000.0,0.0
2021-03-27,17.0,44278.0,0.0
2021-03-28,17.0,45140.0,0.0
2021-03-29,15.0,46416.0,0.0
2021-03-30,15.0,48256.0,0.0
2021-03-31,15.0,49743.0,0.0
2021-04-01,13.0,51216.0,0.0
2021-04-02,12.0,52091.0,0.0
2021-04-03,12.0,52335.0,0.0
2021-04-04,11.0,52413.0,0.0
2021-04-05,9.0,52868.0,0.0
2021-04-06,8.0,53953.0,0.0
2021-04-07,8.0,55151.0,0.0
2021-04-08,8.0,0.0,0.0
2021-04-09,9.0,58037.0,0.0
2021-04-10,9.0,58248.0,0.0
2021-04-11,9.0,58418.0,0.0
2021-04-12,9.0,59249.0,0.0
2021-04-13,9.0,60139.0,0.0
2021-04-14,10.0,62028.0,0.0
2021-04-15,11.0,63758.0,0.0
2021-04-16,12.0,66366.0,0.0
2021-04-17,14.0,67789.0,0.0
2021-04-18,30.0,79182.0,0.0
2021-04-19,32.0,80857.0,0.0
2021-04-20,69.0,106929.0,0.0
2021-04-21,69.0,108897.0,0.0
2021-04-22,95.0,128610.0,0.0
2021-04-23,161.0,176037.0,0.0
2021-04-24,193.0,198972.0,0.0
2021-04-25,191.0,209632.0,0.0
2021-04-26,263.0,259736.0,0.0
2021-04-27,311.0,318792.0,0.0
2021-04-28,465.0,425638.0,0.0
2021-04-29,555.0,506435.0,0.0
2021-04-30,504.0,509855.0,9407.0
2021-05-01,525.0,511435.0,0.0
2021-05-02,564.0,532247.0,0.0
2021-05-03,545.0,539062.0,0.0
2021-05-04,513.0,585539.0,0.0
2021-05-05,411.0,675956.0,0.0
2021-05-06,347.0,747827.0,0.0
2021-05-07,383.0,801957.0,0.0
2021-05-08,383.0,832635.0,0.0
2021-05-09,383.0,851513.0,0.0
2021-05-10,383.0,0.0,0.0
2021-05-11,365.0,887705.0,0.0
2021-05-12,347.0,0.0,0.0
2021-05-13,317.0,0.0,0.0
2021-05-14,278.0,948655.0,21042.0
2021-05-15,234.0,954520.0,22512.0
2021-05-16,182.0,956677.0,22561.0
2021-05-17,151.0,0.0,0.0
2021-05-18,138.0,982543.0,28852.0
2021-05-19,108.0,0.0,0.0
2021-05-20,89.0,0.0,0.0
2021-05-21,79.0,0.0,0.0
2021-05-22,74.0,998698.0,28961.0
2021-05-23,74.0,0.0,0.0
2021-05-24,53.0,0.0,0.0
2021-05-25,32.0,0.0,0.0
2021-05-26,28.0,1005906.0,28961.0
