Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-18,0.0,0.0,0.0
2021-02-19,22.0,0.0,0.0
2021-02-20,22.0,0.0,0.0
2021-02-21,22.0,0.0,0.0
2021-02-22,22.0,1314.0,0.0
2021-02-23,54.0,4041.0,0.0
2021-02-24,88.0,7872.0,0.0
2021-02-25,106.0,11007.0,0.0
2021-02-26,118.0,12579.0,0.0
2021-02-27,145.0,15705.0,0.0
2021-02-28,172.0,18843.0,0.0
2021-03-01,194.0,21456.0,0.0
2021-03-02,202.0,25077.0,0.0
2021-03-03,193.0,27970.0,0.0
2021-03-04,189.0,30658.0,0.0
2021-03-05,180.0,31325.0,0.0
2021-03-06,157.0,32014.0,0.0
2021-03-07,129.0,32240.0,0.0
2021-03-08,135.0,35518.0,0.0
2021-03-09,103.0,35761.0,0.0
2021-03-10,76.0,35901.0,0.0
2021-03-11,52.0,36019.0,0.0
2021-03-12,48.0,36283.0,0.0
2021-03-13,42.0,36359.0,0.0
2021-03-14,40.0,36359.0,0.0
2021-03-15,21.0,37660.0,0.0
2021-03-16,36.0,39550.0,0.0
2021-03-17,36.0,39607.0,0.0
2021-03-18,38.0,40002.0,0.0
2021-03-19,52.0,41687.0,0.0
2021-03-20,56.0,42210.0,0.0
2021-03-21,61.0,42729.0,0.0
2021-03-22,57.0,43294.0,280.0
2021-03-23,54.0,44135.0,1062.0
2021-03-24,118.0,49404.0,2489.0
2021-03-25,182.0,54892.0,4095.0
2021-03-26,250.0,61093.0,6569.0
2021-03-27,300.0,65466.0,7965.0
2021-03-28,350.0,68511.0,10628.0
2021-03-29,366.0,69751.0,11859.0
2021-03-30,391.0,72944.0,12922.0
2021-03-31,384.0,76995.0,14885.0
2021-04-01,445.0,87791.0,17516.0
2021-04-02,549.0,103815.0,20938.0
2021-04-03,572.0,111588.0,21327.0
2021-04-04,574.0,117297.0,21603.0
2021-04-05,614.0,123454.0,22056.0
2021-04-06,738.0,139133.0,23500.0
2021-04-07,841.0,153238.0,26179.0
2021-04-08,849.0,166543.0,27134.0
2021-04-09,783.0,178237.0,27968.0
2021-04-10,863.0,193936.0,28797.0
2021-04-11,813.0,194594.0,28898.0
2021-04-12,856.0,205275.0,29304.0
2021-04-13,824.0,218516.0,29839.0
2021-04-14,795.0,231632.0,30496.0
2021-04-15,886.0,252932.0,32949.0
2021-04-16,947.0,269732.0,34969.0
2021-04-17,857.0,276095.0,35806.0
2021-04-18,874.0,278583.0,35863.0
2021-04-19,792.0,280568.0,36423.0
2021-04-20,737.0,288229.0,36778.0
2021-04-21,681.0,295631.0,37365.0
2021-04-22,634.0,308071.0,43728.0
2021-04-23,589.0,319732.0,46253.0
2021-04-24,579.0,324488.0,47611.0
2021-04-25,726.0,336600.0,53418.0
2021-04-26,909.0,353834.0,57776.0
2021-04-27,1047.0,370676.0,63263.0
2021-04-28,1202.0,388021.0,69992.0
2021-04-29,1209.0,400771.0,76826.0
2021-04-30,1291.0,414735.0,85607.0
2021-05-01,1424.0,428135.0,92164.0
2021-05-02,1290.0,430068.0,94131.0
2021-05-03,1210.0,437751.0,99765.0
2021-05-04,1210.0,452191.0,107586.0
2021-05-05,1136.0,461023.0,115210.0
2021-05-06,1247.0,478174.0,129181.0
2021-05-07,1350.0,500422.0,140340.0
2021-05-08,1322.0,509274.0,148564.0
2021-05-09,1538.0,526066.0,158177.0
2021-05-10,1472.0,529360.0,161293.0
2021-05-11,1442.0,539526.0,170246.0
2021-05-12,1481.0,549797.0,180568.0
2021-05-13,1390.0,559875.0,192145.0
2021-05-14,1293.0,571460.0,203781.0
2021-05-15,1302.0,579769.0,213542.0
2021-05-16,1083.0,581615.0,215332.0
2021-05-17,1188.0,591808.0,222450.0
2021-05-18,1174.0,600579.0,231375.0
2021-05-19,1099.0,605556.0,239128.0
2021-05-20,1109.0,615296.0,252100.0
2021-05-21,1083.0,624665.0,263263.0
2021-05-22,1065.0,630348.0,273725.0
2021-05-23,1097.0,632496.0,278537.0
2021-05-24,968.0,633635.0,281286.0
2021-05-25,923.0,639553.0,288437.0
2021-05-26,888.0,643531.0,293509.0
2021-05-27,827.0,648121.0,305268.0
2021-05-28,854.0,656630.0,320166.0
2021-05-29,946.0,666786.0,335679.0
2021-05-30,970.0,670755.0,341218.0
2021-05-31,1011.0,675678.0,344400.0
